title	name	meaning	menu_1	menu_2	menu_3	menu_4	menu_5	description	EXPORT_GRDI
			Milk/Colostrum						body_product:
			Mixed						host (common name):
		UBERON:0000062	Mixed Organs						anatomical_part:
		UBERON:0000479	Mixed Tissues						anatomical_material:
		UBERON:0000165	Mouth						anatomical_part:
			Mucous membrane (gut)						anatomical_part:
		UBERON:0000344	Mucous membrane (resp)						anatomical_part:
		UBERON:0000912	Mucus						anatomical_material:
		CURATION:0001428	Muscle						anatomical_part:
			Muscle/Meat						food_product:
		UBERON:0035612	Nasal Turbinate						anatomical_part:
		CURATION:0000466	Nasal/Naries						anatomical_part:
		UBERON:0000062	Organ Unspecified						anatomical_part:
		UBERON:0000992	Ovary						anatomical_part:
		UBERON:0000993	Oviduct						anatomical_part:
		UBERON:0002407	Pericardium						anatomical_part:
		UBERON:0001268	Peritoneal Fluid						anatomical_material:
		UBERON:0002358	Peritoneum						anatomical_part:
		UBERON:0001987	Placenta						anatomical_part:
		UBERON:0000977	Pleura						anatomical_part:
		CURATION:0000406	Plucking Belt						environmental_site:
		CHEBI:15377	Plucking Water						environmental_material:
			Pooled Feces						body_product:
		CURATION:0000457	Rectal Swab						anatomical_part:
		UBERON:0001052	Rectum						anatomical_part:
		CURATION:0001536	Research						
		CURATION:0001629	Rinse						environmental_material:
		UBERON:0007365	Rumen						anatomical_part:
		UBERON:0006612	Shell						anatomical_material:
		UBERON:0005079	Shell egg						food_product:
		CURATION:0000455	Sinus						anatomical_part:
		UBERON:0000014	Skin						anatomical_part:
		UBERON:0002108	Small Intestine						anatomical_part:
		ENVO:00001998	Soil						environmental_material:
		UBERON:0002240	Spinal Cord						anatomical_part:
		UBERON:0002106	Spleen						anatomical_part:
			Stall						environmental_site:
		UBERON:0000945	Stomach						anatomical_part:
			Stomach Contents						body_product:
		NCIT:C17627	Swab						collection_device:
			Swab (Nasal)						anatomical_part:
		CURATION:0000457	Swab (Rectal)						anatomical_part:
			Swab (Tissue Fluid-Unspecified)						anatomical_material:
		UBERON:0000473	Testicle						anatomical_part:
		UBERON:0000915	Thorax						anatomical_part:
		UBERON:0003126	Trachea						anatomical_part:
		UBERON:0000062	Unknown organ						anatomical_part:
			Unspecified Organ/Tissue						anatomical_part:
		UBERON:0001088	Urine						body_product:
		UBERON:0000995	Uterus						anatomical_part:
		UBERON:0000996	Vagina						anatomical_part:
			Walls						environmental_site:
		CHEBI:15377	Water						environmental_material:
			Watering Bowl/Equipment						environmental_site:
			Weekly						
			Weep						environmental_material:
		FOODON:03430131	Whole						food_product:
		UBERON:2000084	Yolk						food_product:
		UBERON:0001040	Yolk Sac						anatomical_part:
SUBJECT_SUBTYPE menu	SubjectSubtypeMenu		<=32						
			<n/a>						
			>32						
		FOODON:00002670	Alfalfa Sprouts						food_product:
		FOODON:03301355	Almond						food_product:
		FOODON:00003004	Animal pen						environmental_site:
			Artificial wetland						environmental_site:
		FOODON:00002426	Arugula						food_product:
		FOODON:00003044	Basil						food_product:
		FOODON:00002576	Bean Sprouts						food_product:
			Biosolid						environmental_material:
		ENVO:00002044	Biosolid/Sludge						environmental_material:
			Bootie						environmental_material:
		CURATION:0000401	Boots						environmental_material:
		UBERON:0000310	Breast						food_product:
		UBERON:0000310	Breast skinless						food_product:
		UBERON:0000310	Breast skinless boneless						food_product:
			Breast with skin						food_product:
		CURATION:0000397	Broom						environmental_material:
			Bulk Tank						environmental_site:
		CURATION:0001383	Cantaloupe						food_product:
			Carcass (whole)						anatomical_part:
		FOODON:00001013	Cheese						food_product:
			Chia Powder						food_product:
		CURATION:0001385	Chia Seeds						food_product:
			Chia Sprouts						food_product:
			Chick Boxes						environmental_site:
		UBERON:2001977	Chick Pads						environmental_material:
		FOODON:03306811	Chickpea						food_product:
		FOODON:03301511	Chili						food_product:
		FOODON:03315873	Chilli Pepper						food_product:
		FOODON:03311167	Chives						food_product:
			Chops						food_product:
		FOODON:03303085	Coconut						food_product:
		CURATION:0001527	Compost						environmental_material:
		SIO:000511	Cooler Line						environmental_site:
		PO:0009010	Coriander Seeds						food_product:
		FOODON:00002976	Coriander-Cumin Powder						food_product:
			Cottage						environmental_site:
		FOODON:03301545	Cucumber						food_product:
		FOODON:03306648	Curry Leaves						food_product:
		FOODON:03301842	Curry powder						food_product:
		ENVO:00000474	Cut						food_product:
			Dead Haul Truck / Trailer						environmental_site:
		FOODON:00001811	Dill						food_product:
		CURATION:0001378	Drumstick						food_product:
			Dumpster						environmental_site:
			Effluent						environmental_material:
		FOODON:00001274	Egg						food_product:
			Egg Belt						environmental_site:
		ENVO:00000104	Fan						environmental_site:
		FOODON:03309997	Feed Pans						environmental_site:
		FOODON:03309953	Fennel						food_product:
		FOODON:03530144	Filet						food_product:
			Flax and Chia Powder						food_product:
			Flax Powder						food_product:
		CURATION:0000335	Floor						environmental_site:
		FOODON:00002616	For Avian						host (common name):
			For Beef Cattle						host (common name):
		CURATION:0001354	For Cats						host (common name):
			For Cattle (Beef)						host (common name):
		FOODON:00002505	For Cattle (Dairy)						host (common name):
		FOODON:03411457	For Chicken						host (common name):
		FOODON:03411201	For Dairy Cows						host (common name):
		CURATION:0001351	For Dogs						host (common name):
		FOODON:03411222	For Fish						host (common name):
		FOODON:03411328	For Goats						host (common name):
		FOODON:03411229	For Horse						host (common name):
		FOODON:00002723	For Mink						host (common name):
			For Others						
		FOODON:00001131	For Poultry						host (common name):
		FOODON:03411136	For Swine						host (common name):
		FOODON:03414166	For Turkeys						host (common name):
			For Unknown						
			For Unspecified						host (common name):
		FOODON:03301844	Garlic Powder						food_product:
		FOODON:00002718	Ginger						food_product:
		FOODON:03411478	Green Onion						food_product:
			Ground						food_product:
			Ground (extra lean)						food_product:
			Ground (lean)						food_product:
		FOODON:03430117	Ground (medium)						food_product:
			Ground (regular)						food_product:
		ENVO:00002041	Ground Water						environmental_material:
		FOODON:00002502	Ham						food_product:
			Hazelnut / Filbert						food_product:
			Headcheese						food_product:
			Herb/Spice (Unspecified)						food_product:
		CURATION:0000309	Irrigation						environmental_site:
		FOODON:03304859	Kale						food_product:
			Kalonji Whole Seed						food_product:
			Lab Surface						environmental_site:
		ENVO:00000020	Lake						environmental_site:
		UBERON:0000978	Leg						food_product:
		FOODON:00001998	Lettuce						food_product:
			Liquid whole						food_product:
		UBERON:0002107	Liver						food_product:
			Loin center chop non-seasoned						food_product:
			Mango						food_product:
		FOODON:00001006	Meat						food_product:
		UBERON:0001913	Milk						food_product:
		FOODON:00002432	Mint						food_product:
			Mixed						host (common name):
			Mixed Salad/Mixed Greens						food_product:
		FOODON:03420183	Mixed Sprouts						food_product:
			Mung Bean Sprouts						food_product:
		FOODON:03301482	Oregano						food_product:
			Other						host (common name):
		FOODON:03411457	Other chicken						food_product:
		ENVO:00000474	Other cut (not ground)						food_product:
		FOODON:03420218	Other variety meats						food_product:
			Papaya						food_product:
		FOODON:03301105	Paprika						food_product:
		FOODON:00002942	Parsley						food_product:
			Pea Sprouts						food_product:
		FOODON:00001649	Pepper						food_product:
			Pepper Powder						food_product:
		FOODON:03311003	Pepperoni						food_product:
			Rasam Powder Spice						food_product:
