Ontology ID	parent class	label	datatype	requirement	description	examples	guidance	source	data status	min value	max value	capitalize
MIXS:0000014	environment field	env_medium	select	required	"Report the environmental material(s) immediately surrounding the sample or specimen at the time of sampling. We recommend using subclasses of 'environmental material' (http://purl.obolibrary.org/obo/ENVO_00010483). EnvO documentation about how to use the field: https://github.com/EnvironmentOntology/envo/wiki/Using-ENVO-with-MIxS . Terms from other OBO ontologies are permissible as long as they reference mass/volume nouns (e.g. air, water, blood) and not discrete, countable entities (e.g. a tree, a leaf, a table top)."	"soil [ENVO:00001998]; Annotating a fish swimming in the upper 100 m of the Atlantic Ocean, consider: ocean water [ENVO:00002151]. Example: Annotating a duck on a pond consider: pond water [ENVO:00002228]|air [ENVO_00002005]"	Expected value: The material displaced by the entity at time of sampling. Recommend subclasses of environmental material [ENVO:00010483].. Position: 12.0					
MIXS:0000704	core field	fluor	xs:token		Raw or converted fluorescence of water	2.5 volts	"Expected value: measurement value. Preferred unit: milligram chlorophyll a per cubic meter, volts. Occurrence: 1. Position: 1.0. This field is used uniquely in: water"					
MIXS:0000010	environment field	geo_loc_name	xs:token	required	"The geographical origin of the sample as defined by the country or sea name followed by specific region name. Country or sea names should be chosen from the INSDC country list (http://insdc.org/country.html), or the GAZ ontology (http://purl.bioontology.org/ontology/GAZ)"	"USA: Maryland, Bethesda"	"Expected value: country or sea name (INSDC or GAZ): region(GAZ), specific location name. Position: 8.0"					
MIXS:0000137	core field	glucosidase_act	xs:token		Measurement of glucosidase activity	5 mol per liter per hour	"Expected value: measurement value. Preferred unit: mol per liter per hour. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000009	environment field	lat_lon	xs:token	required	The geographical origin of the sample as defined by latitude and longitude. The values should be reported in decimal degrees and in WGS84 system	50.586825 6.408977	"Expected value: decimal degrees,  limit to 8 decimal points. Position: 5.0"					
MIXS:0000706	core field	light_intensity	xs:token		Measurement of light intensity	0.3 lux	Expected value: measurement value. Preferred unit: lux. Occurrence: 1. Position: 1.0. This field is used uniquely in: water					
MIXS:0000431	core field	magnesium	xs:token		Concentration of magnesium in the sample	52.8 micromole per kilogram	"Expected value: measurement value. Preferred unit: mole per liter, milligram per liter, parts per million, micromole per kilogram. Occurrence: 1. Position: 69.0. This field is used in: 5 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, sediment, water"					
MIXS:0000498	core field	mean_frict_vel	xs:token		Measurement of mean friction velocity	0.5 meter per second	"Expected value: measurement value. Preferred unit: meter per second. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000502	core field	mean_peak_frict_vel	xs:token		Measurement of mean peak friction velocity	1 meter per second	"Expected value: measurement value. Preferred unit: meter per second. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water"					
MIXS:0000752	core field	misc_param	xs:token		"Any other measurement performed or parameter collected, that is not listed here"	Bicarbonate ion concentration;2075 micromole per kilogram	"Expected value: parameter name;measurement value. Occurrence: m. Position: 1.0. This field is used in: 16 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, soil, wastewater_sludge, water"					
