label	parent class	datatype	requirement	description	examples	guidance	Ontology ID	source	data status	min value	max value	capitalize
salinity	core field	xs:token		The total concentration of all dissolved salts in a liquid or solid sample. While salinity can be measured by a complete chemical analysis, this method is difficult and time consuming. More often, it is instead derived from the conductivity measurement. This is known as practical salinity. These derivations compare the specific conductance of the sample to a salinity standard such as seawater.	25 practical salinity unit	Expected value: measurement value. Preferred unit: practical salinity unit, percentage. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000183					
samp_store_dur	core field	xs:token		Duration for which the sample was stored	P1Y6M	Expected value: duration. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000116					
samp_store_loc	core field	xs:token		Location at which sample was stored, usually name of a specific freezer/room	Freezer no:5	Expected value: location name. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000755					
samp_store_temp	core field	xs:token	required	Temperature at which sample was stored, e.g. -80 degree Celsius	-80 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Occurrence: 1. Position: 1.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000110					
sediment_type	core field	select		Information about the sediment type based on major constituents	biogenous	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used uniquely in: sediment	MIXS:0001078					
silicate	core field	xs:token		Concentration of silicate	0.05 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter. Occurrence: 1. Position: 1.0. This field is used in: 4 packages: microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000184					
sodium	core field	xs:token		Sodium concentration in the sample	10.5 milligram per liter	Expected value: measurement value. Preferred unit: milligram per liter, parts per million. Occurrence: 1. Position: 66.0. This field is used in: 7 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, wastewater_sludge, water	MIXS:0000428					
sulfate	core field	xs:token		Concentration of sulfate in the sample	5 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 58.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000423					
sulfide	core field	xs:token		Concentration of sulfide in the sample	2 micromole per liter	Expected value: measurement value. Preferred unit: micromole per liter, milligram per liter, parts per million. Occurrence: 1. Position: 59.0. This field is used in: 6 packages: hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, sediment, water	MIXS:0000424					
temp	environment field	xs:token		Temperature of the sample at the time of sampling.	25 degree Celsius	Expected value: measurement value. Preferred unit: degree Celsius. Position: 40.0. This field is used in: 15 packages: air, host-associated, human-associated, human-gut, human-oral, human-skin, human-vaginal, hydrocarbon resources-cores, hydrocarbon resources-fluids_swabs, microbial mat_biofilm, miscellaneous natural or artificial environment, plant-associated, sediment, wastewater_sludge, water	MIXS:0000113					
tidal_stage	core field	select		Stage of tide	high tide	Expected value: enumeration. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: sediment, water	MIXS:0000750					
tot_carb	core field	xs:token		Total carbon content		Expected value: measurement value. Preferred unit: microgram per liter. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: microbial mat_biofilm, sediment	MIXS:0000525					
tot_depth_water_col	core field	xs:token		Measurement of total depth of water column	500 meter	Expected value: measurement value. Preferred unit: meter. Occurrence: 1. Position: 1.0. This field is used in: 2 packages: sediment, water	MIXS:0000634					
tot_nitro_content	core field	xs:token		Total nitrogen content of the sample		Expected value: measurement value. Preferred unit: microgram per liter, micromole per liter, milligram per liter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, soil	MIXS:0000530					
tot_org_carb	core field	xs:token		Definition for soil: total organic carbon content of the soil, definition otherwise: total organic carbon content		Expected value: measurement value. Preferred unit: gram Carbon per kilogram sample material. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, soil	MIXS:0000533					
turbidity	core field	xs:token		Measure of the amount of cloudiness or haziness in water caused by individual particles	0.3 nephelometric turbidity units	Expected value: measurement value. Preferred unit: formazin turbidity unit, formazin nephelometric units. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, water	MIXS:0000191					
water_content	core field	xs:token		Water content measurement		Expected value: measurement value. Preferred unit: gram per gram or cubic centimeter per cubic centimeter. Occurrence: 1. Position: 1.0. This field is used in: 3 packages: microbial mat_biofilm, sediment, soil	MIXS:0000185					
epeiric sea biome	env_broad_scale											
estuarine biome	env_broad_scale											
freshwater biome	env_broad_scale											
freshwater lake biome	env_broad_scale											
freshwater river biome	env_broad_scale											
mangrove biome	env_broad_scale											
marine basaltic hydrothermal vent biome	env_broad_scale											
marine benthic biome	env_broad_scale											
marine cold seep biome	env_broad_scale											
marine hadal zone biome	env_broad_scale											
marine hydrothermal vent biome	env_broad_scale											
marine neritic benthic zone biome	env_broad_scale											
marine reef biome	env_broad_scale											
marine salt marsh biome	env_broad_scale											
marine subtidal rocky reef biome	env_broad_scale											
marine ultramafic hydrothermal vent biome	env_broad_scale											
tropical marginal sea biome	env_broad_scale											
channel	env_local_scale											
coast	env_local_scale											
delta	env_local_scale											
dry lake	env_local_scale											
dry river	env_local_scale											
dry valley	env_local_scale											
alluvial fan	env_local_scale											
bank	env_local_scale											
estuary	env_local_scale											
lake	env_local_scale											
lake shore	env_local_scale											
marine benthic feature	env_local_scale											
mid-ocean ridge	env_local_scale											
phreatic zone	env_local_scale											
pond	env_local_scale											
bayou	env_local_scale											
river	env_local_scale											
seamount	env_local_scale											
shore	env_local_scale											
tunnel	env_local_scale											
ATP	organism_count											
MPN	organism_count											
other	organism_count											
aerobic	oxy_stat_samp											
